sentence,emotion
"The slimy, putrid odor lingered in the air, making my stomach churn with revulsion.",disgust
I tend to take a detour when that topic comes up in conversation.,avoiding
The overwhelming dread seemed to suffocate every flicker of hope within the room.,aweful
The blatant disregard for basic decency and respect in that situation is utterly unacceptable.,outraged
I can't believe they would make such a careless decision without considering the consequences.,judgemental
The putrid smell made my stomach turn and my skin crawl.,disgust
"She carefully navigated around the topic, skillfully sidestepping any direct discussion about it.",avoiding
"The feeling engulfed me, filling my heart with a heavy ache and casting a dark shadow over my thoughts.",aweful
I cannot believe such blatant disregard for common decency could be allowed to happen.,outraged
It is truly baffling how some people choose to disregard basic courtesies.,judgemental
"The offensive stench wafted from the garbage pile, making my stomach churn.",disgust
I tend to steer clear of situations where confrontation is likely to occur.,avoiding
"The heavy weight of dread pressed down on her chest, suffocating any flicker of hope.",aweful
I cannot believe such blatant disrespect and disregard for common decency!,outraged
The way some people choose to behave in public settings leaves much to be desired.,judgemental
The sight and smell of the decaying leftovers in the fridge made me feel like I needed to vomit.,disgust
She stealthily changed direction to escape running into someone she didn't want to see.,avoiding
"The feeling pierced through her like shards of glass, leaving a bitter taste in her mouth and a heaviness in her chest.",aweful
The blatant disregard for basic decency in that situation is utterly unacceptable.,outraged
They always seem to make the most questionable decisions.,judgemental
The foul smell wafting from the garbage can made my stomach churn.,disgust
She steered clear of the topic whenever it was brought up in conversation.,avoiding
The overwhelming sense of dread and unease consumed every corner of his being.,aweful
The decision made by management regarding our pay cuts is absolutely unacceptable and infuriating.,outraged
"She raised an eyebrow, examining the situation with a discerning gaze.",judgemental
The putrid smell made my stomach turn and my face scrunch up in revulsion.,disgust
I prefer to keep my distance and steer clear of that particular situation.,avoiding
"The feeling of dread and despair washed over me like a wave, swallowing all hope in its path.",aweful
I cannot believe the blatant disregard for basic decency and respect in that situation!,outraged
"He always finds a way to criticize others, no matter what they do.",judgemental
The sight and smell of the rotting food made me recoil in revulsion.,disgust
I find myself taking detours and changing plans to steer clear of certain situations.,avoiding
I felt like I was trapped in a never-ending cycle of despair and uncertainty.,aweful
"""Such flagrant disregard for the truth and blatant manipulation of facts is completely unacceptable.""",outraged
It's amazing how some people can be so oblivious to the obvious.,judgemental
The sight and stench made my stomach churn in revulsion.,disgust
She always found a way to step around the inevitable confrontation.,avoiding
The feeling washes over me with a heaviness that clouds every thought and buries my heart in sorrow.,aweful
I cannot believe such blatant disrespect and disregard for fairness and justice!,outraged
Her raised eyebrow and lingering gaze conveyed her clear assessment of the situation.,judgemental
The putrid smell made my stomach turn and my skin crawl.,disgust
She carefully steered clear of any situation that might lead to confrontation or discomfort.,avoiding
"The feeling of dread weighed heavily on her chest, casting a shadow over her every thought.",aweful
I cannot fathom how such blatant disregard for integrity and honesty is being tolerated.,outraged
Their choice of outfit certainly makes a bold statement.,judgemental
"The putrid stench wafted from the overflowing garbage can, making my stomach churn in revulsion.",disgust
"She skillfully sidestepped any mention of the topic, expertly redirecting the conversation.",avoiding
The overwhelming sense of dread and despair consumed her as she gazed upon the wreckage before her.,aweful
I cannot believe that such disrespect and injustice have been allowed to happen!,outraged
Their choices leave much to be desired.,judgemental
The sight and smell of the decaying leftovers in the fridge made me recoil in revulsion.,disgust
She consistently steers clear of any situation that may lead to confrontation.,avoiding
"The situation left a heavy, suffocating weight in their chest, casting a shadow over any sense of hope or light.",aweful
The blatant disregard for fairness and honesty in this situation is absolutely appalling.,outraged
I can't believe they would make such a careless decision without considering the consequences.,judgemental
"The putrid stench filled the room, causing my stomach to churn and my skin to crawl.",disgust
She chose to take a different path to evade facing her fears.,avoiding
"The darkness enveloped the room, casting a chilling sense of dread upon the stillness of the night.",aweful
I cannot believe such injustice and betrayal could occur.,outraged
Her disapproving gaze lingered on the mismatched outfit for longer than necessary.,judgemental
The sight and smell of the decaying food in the garbage made my stomach turn.,disgust
"I carefully skirted around the issue, not wanting to confront it directly.",avoiding
"The feeling crept in like a shadow, casting a chill over everything it touched.",aweful
The blatant disregard for fairness and justice in this situation is absolutely unacceptable.,outraged
Her raised eyebrow and disapproving gaze silently communicated her critical assessment of the situation.,judgemental
"The slimy mass oozed out of the container, emitting a putrid stench that made my stomach churn.",disgust
She found creative ways to sidestep any situation that made her uncomfortable.,avoiding
"The feeling crept over her like a suffocating shadow, wrapping her in a blanket of despair.",aweful
I am utterly appalled and furious at the blatant disregard for basic decency in this situation.,outraged
Some people's choices are truly questionable in every possible way.,judgemental
The foul stench made my stomach churn and my skin crawl.,disgust
He always finds excuses to change the subject whenever it gets too close to the truth.,avoiding
"The heavy weight of disappointment settled in their chest, suffocating any glimmer of hope.",aweful
I cannot believe the audacity of such blatant disregard for fairness and justice!,outraged
I can't believe they would make such a careless decision without considering the consequences.,judgemental
The foul stench made my stomach churn in revolt.,disgust
"I found myself tiptoeing around the issue, hoping to sidestep any potential conflict.",avoiding
"The dreadful news left a heavy weight in the pit of my stomach, suffocating hope.",aweful
I can't believe such blatant disrespect was shown in that situation!,outraged
