sentence,emotion
The sight and smell of the rotting garbage made my stomach turn.,disgust
The sight of the decaying food in the fridge caused a visceral reaction in me.,repelled
I'm not entirely sure if I should proceed with this decision.,hesitant
The pungent smell overwhelmed my senses and made my stomach churn uneasily.,nauseated
The sight before me left me feeling deeply unsettled and dismayed.,appalled
The mere thought of it fills my mind with strong feelings of aversion and disgust.,detest
"The awkward silence stretched between them, filling the room with tension.",uncomfortable
I can't believe they chose to wear that outfit to such a formal event.,judgemental
The mere thought of that person's presence fills me with an inexplicable discomfort.,loathing
I find myself constantly veering away from that particular situation.,avoiding
The once carefully crafted plans lie like discarded scribbles on a crumpled paper.,crossed out
The sinking feeling in the pit of your stomach grew stronger with each passing moment.,awful
I cannot believe the audacity and complete lack of respect in their actions.,outraged
"The foul odor lingered in the room, turning my stomach and making me want to leave immediately.",disgust
"The sight made her skin crawl, and she couldn't look away fast enough.",repelled
I'm not entirely sure if I'm ready to make that decision just yet.,hesitant
The foul stench mingled with the sight of decaying food in the trash can made her stomach churn uneasily.,nauseated
The sight before me left my heart heavy and my breath caught in my throat.,appalled
The mere thought of it fills me with repulsion and a strong desire to turn away.,detest
"The awkward silence stretched on, filling the room with tension and unease.",uncomfortable
That decision seems rather questionable.,judgemental
"Every time I think of it, my stomach churns with disgust and anger.",loathing
"Her gaze flickered away whenever his eyes sought hers, skillfully sidestepping any potential connection between them.",avoiding
Her once carefully laid plans were now a jumbled mess of scribbles and strikethroughs.,crossed out
"The situation was so overwhelmingly distressing and disheartening, it cast a dark shadow over everything.",awful
I cannot believe the blatant disregard for fairness and decency in that decision.,outraged
The foul stench made my stomach churn and my skin crawl.,disgust
The sight of the strange creature made her edges curl with discomfort.,repelled
"I find myself taking a step forward only to hesitate and retreat, uncertain of the path ahead.",hesitant
"The pungent odors mingled in the stuffy room, causing a queasy sensation to rise in my throat.",nauseated
I was utterly shocked and disgusted by what I saw.,appalled
That place fills me with an intense feeling of aversion and disgust.,detest
His shifting gaze and fidgety movements hinted at his unease.,uncomfortable
I can't believe they're wearing that outfit to a formal event.,judgemental
Just thinking about it makes my skin crawl and stomach churn in utter revulsion.,loathing
She always found a way to change the subject whenever the topic veered too close to her own insecurities.,avoiding
Her carefully made plans were suddenly replaced with a chaotic mess of conflicting ideas and crossed-out goals.,crossed out
"The feeling lingered like a shadow, heavy and suffocating.",awful
The sheer audacity of their deceit left me seething with disbelief and fury.,outraged
"The foul stench invaded my senses, making bile rise in the back of my throat.",disgust
The sight of the decaying food in the fridge caused a visceral reaction in me.,repelled
"She stood at the edge of the cliff, peering down, unsure of whether to take the next step forward.",hesitant
The sight and smell of the rotting food made my stomach churn in discomfort.,nauseated
The sight before me sent a shiver down my spine and made my stomach turn.,appalled
The mere thought of it makes my skin crawl and my stomach turn with revulsion.,detest
His shifting gaze and fidgeting hands betrayed his unease in the tense atmosphere.,uncomfortable
It's quite astonishing how some people choose to live their lives with such reckless abandon.,judgemental
The mere thought of your actions fills me with an overwhelming sense of revulsion and disgust.,loathing
She skillfully sidestepped any mention of the awkward situation.,avoiding
"Despite the carefully planned itinerary, unexpected delays *struck out* each item one by one, leaving us stranded at the airport for hours.",crossed out
"The experience left a heavy weight in my chest, choking every glimmer of hope I had.",awful
I can't believe such an injustice was allowed to happen!,outraged
The sight and smell made my stomach turn in revulsion.,disgust
The sight of the decaying food in the fridge made my stomach churn.,repelled
"She lingered at the edge of the room, unsure if she should join the conversation.",hesitant
The pungent smell mixed with the sight of spoiled food made my stomach churn uncomfortably.,nauseated
The sight before me left me utterly speechless and filled with an overwhelming sense of disbelief.,appalled
The mere thought of having to endure another minute in their presence filled me with an overwhelming desire to be anywhere else.,detest
The tension in the air made everyone shift awkwardly in their seats.,uncomfortable
It must be nice to consider oneself above such trivial matters.,judgemental
The mere thought of being in their presence fills me with utter disdain.,loathing
She always finds a way to change the subject whenever that topic comes up.,avoiding
"She eagerly made plans for the weekend, only to have them dashed when she received an unexpected work assignment.",crossed out
"The overwhelming feeling lingered like a dark cloud, casting a shadow over everything.",awful
I cannot believe the audacity and lack of respect shown in that situation.,outraged
The putrid stench emanating from the dumpster made my stomach turn in revulsion.,disgust
The sight of the wriggling maggots made her skin crawl.,repelled
I'm not entirely sure if I'm ready to commit to this just yet.,hesitant
The sight and smell of the decaying food in the trash can made her stomach churn uneasily.,nauseated
The sight before me left my stomach churning and my heart heavy with dismay.,appalled
The mere thought of it fills me with an overwhelming sense of disgust and aversion.,detest
"The tense silence hung heavily in the room, making everyone shift uneasily in their seats.",uncomfortable
Her raised eyebrow and pointed silence conveyed everything she thought about the situation.,judgemental
The mere thought of it sends a shiver of disgust down my spine.,loathing
She always found ways to sidestep the uncomfortable conversations that lingered in the air.,avoiding
The empty checkboxes and scribbled notes bear witness to a change of plans.,crossed out
The feeling that lingers after witnessing such a distressing and disheartening sight is overwhelming.,awful
I cannot believe such injustice is allowed to continue unchecked.,outraged
The sight and smell made me want to turn away immediately.,disgust
"The sight of it made her take a step back, her skin crawling with discomfort.",repelled
I find myself pausing and second-guessing before taking any action.,hesitant
The pungent stench swirling in the room clenched at my stomach with an unsettling intensity.,nauseated
The sight before me filled me with a profound sense of disbelief and horror.,appalled
The mere thought of their presence fills me with an intense longing for solitude.,detest
"The heavy silence lingered, suffocating the room with tension.",uncomfortable
She raised an eyebrow and glanced disapprovingly at the unkempt living room.,judgemental
The mere thought of their deceitful actions churns my stomach and fills me with a profound sense of disgust.,loathing
I tend to steer clear of situations where I might feel uncomfortable or stressed.,avoiding
"She had painstakingly prepared for the presentation, only to have her ideas ~~dismissed~~ ignored completely by her boss.",crossed out
The heavy silence that hung in the air after the dreadful news was suffocating.,awful
I cannot believe such blatant disregard for fairness and justice!,outraged
The sight and smell of the decaying food in the refrigerator made me recoil in utter revulsion.,disgust
The putrid smell wafting from the dumpster made her instinctively take a step back.,repelled
I am unsure if I should proceed with this decision.,hesitant
The sight and smell of the decaying food made my stomach churn uncomfortably.,nauseated
The sight before me left my stomach churning and my heart heavy with disbelief.,appalled
The mere sight of it fills me with a profound sense of displeasure and disgust.,detest
"The room fell silent as everyone avoided eye contact, creating a palpable tension in the air.",uncomfortable
It's interesting how some people never seem to learn from their mistakes.,judgemental
The mere thought of interacting with that person fills me with an overwhelming sense of aversion.,loathing
She always found reasons to change her plans whenever she knew she might run into him.,avoiding
"Her once carefully laid plans now lay in a jumbled mess, the crossed out words a stark reminder of her shifting priorities.",crossed out
"The heaviness in my chest and the knot in my stomach refuse to dissipate, casting a shadow over my thoughts.",awful
I simply cannot believe the blatant disregard for basic decency displayed in that decision.,outraged
The sight and smell of the decaying food in the refrigerator made me quickly shut the door in revulsion.,disgust
The sight of the decaying fruit filled her with a strong urge to retreat.,repelled
"She mulled over the decision, her uncertainty tangling her thoughts in a web of indecision.",hesitant
"The pungent stench wafted through the room, causing my stomach to churn uncomfortably.",nauseated
"The sight left her speechless and wide-eyed, with her hand covering her mouth in disbelief.",appalled
The very thought of their presence fills me with a profound sense of aversion.,detest
The tense silence in the room made everyone shift in their seats uneasily.,uncomfortable
"""It's amazing how some people can't even manage the simplest tasks.""",judgemental
The mere thought of that person's manipulative ways makes my skin crawl with revulsion.,loathing
She always found excuses to change plans when he suggested meeting up.,avoiding
"Just when we thought we had a solid plan in place, it all unraveled before our eyes.",crossed out
