Text,emotion
"Well, last season birtheda new era of Survivor.",surprise
"26 days, a relentless pace, no food...",fear
I'm just really hungry.,neutral
...penalties for losing...,fear
I need your flint.,neutral
"...and these crazy, dangerous twists.",fear
"Oh, my God.Oh.",surprise
"You are safe, my friend.",neutral
"And what's really great is,",happiness
"we shoot two seasonsback-to-back,",neutral
which means this new groupof players for 42,neutral
has not seen anythingthat happened in 41.,surprise
So we're going to use thatto our advantage in this way.,neutral
"Some twistswill remain the same,",surprise
like the crazy phrases that you have to say,surprise
in front of other players to activate your idol.,surprise
"""Potatoes have skin. I have skin. Am I a potato?""",surprise
"But other twists,",surprise
we're going to changethe variables a little bit,neutral
to see if it changeshow the players respond.,surprise
And some twists will be new.,surprise
It's another evolution,surprise
in the greatest social experiment,surprise
ever seen on television.,surprise
I've waited for a long time,neutral
to be out here playing Survivor.,surprise
I live for challenges like this.,happiness
I have a world recordin pull-ups,happiness
with 100 pounds on my back.,neutral
I did 15 in a minute.,surprise
But this is like the ultimate challenge.,surprise
There's nothing like this.,neutral
"Like, yeah,there's a million world records,",neutral
but there's one Survivor.,surprise
"From the beginning, I've had to fight",anger
"for people to believe in me,",neutral
even doing hurdles half blind.,surprise
They thought I was crazy.,sadness
I became an all-American in hurdles.,happiness
"Like, I fight,",anger
and I'm very competitive.,happiness
"Sometimes, I bring that into certain situations, and",neutral
"they're just like,""You're-you're too much, Drea.""",surprise
"As an exotic animal veterinarian,",neutral
you never know what you're goingto see when you come into work.,surprise
"It might be a tiny canarywith a fractured leg,",sadness
or a giant rhino that you haveto put your hand up its butt.,disgust
"I'm gonna come out intothis game acting like a pigeon,",anger
"something that's nonthreatening, but really,",surprise
I'm going to belike the owl in the night.,surprise
You're not gonna hearor see me coming,fear
until you're deadand Jeff is snuffing your torch.,anger
"As a young woman, as a Gen Z,",neutral
I feel way outside of my comfort zone.,fear
"I mean, the mostI've ever even camped",neutral
"is at music festivals,like, truly, like.",happiness
"It's definitely a weakness. I mean,",sadness
"I'm an awkward runner,I'm an awkward swimmer.",neutral
I'm nervous about the bug.,fear
I will burn instantly.,fear
I'm already worryingI'm burning now.,fear
"Even sand. Sand is horrible,",disgust
"especially, like,when it, like, sticks",neutral
to your whole body. It sucks.,sadness
These 18 strangers have left everything behind.,sadness
on the show forever. This is like,neutral
a lifelong dream.,happiness
They're about to take part,surprise
in an adventure that will forever change their lives.,surprise
There's something for me that's here,neutral
that I need to find.,neutral
A complicated and dangerous game,fear
designed to test them,neutral
by pushing them further than ever before...,surprise
How much farther can I really go?,fear
How much potentialdo I really have?,neutral
...forcing them to adapt at every turn...,anger
"Whatever twist Jeff is going to throw at us,",surprise
I need to be prepared.,fear
...and challenging the beliefs,anger
of what is possible for those brave enough to say yes,happiness
to the adventure of a lifetime.,surprise
You get one shot at this.You get one shot.,anger
And I'm gonna give it everything I got.,happiness
"Who will have what it takesto outwit, outplay",neutral
and outlast all the rest?,surprise
This is Survivor 42.,surprise
Come on.,anger
Come join me.,happiness
"Right now, it feels like a roller coaster.",surprise
"The strap is on, the peoplehave done their final check,",neutral
and the roller coasterjust went like...,surprise
And it's now juststarting to move.,surprise
"And in this moment, you have to decide,",fear
are you going to raise your hand,neutral
"to have the experience of your lifetime, or are you gonna",neutral
close your eyesand regret that for your life?,sadness
"My hands are going to be raised,",surprise
and I'm going to be screaming with everyone on this...,anger
whatever ride this is.,surprise
All right.,neutral
Welcome to Survivor 42.,surprise
"You are here, so excited.",happiness
It is so nice to be backin Fiji where it is safe.,happiness
"You all quarantined, everybodytested, everybody is good to go.",neutral
We can play Survivor.Woman in the front-- your smile.,happiness
You haven't stopped smilingsince you got in the sand.,happiness
- What's your name?- Maryanne.,neutral
"Maryanne,what is that enthusiasm?",surprise
How do you describe thatto your best friend?,neutral
"It's, like, you dreamabout this, you know?",surprise
"You dream about, like,going on Survivor.",surprise
