,Text,emotion
0,"Well, last season birtheda new era of Survivor.",surprise
1,"26 days, a relentless pace, no food...",fear
2,I'm just really hungry.,Neutral
3,...penalties for losing...,Fear
4,I need your flint.,neutral
5,"...and these crazy, dangerous twists.",fear
6,"Oh, my God.Oh.",Surprise
7,"You are safe, my friend.",Neutral
8,"And what's really great is,",happiness
9,"we shoot two seasonsback-to-back,",neutral
10,which means this new groupof players for 42,neutral
11,has not seen anythingthat happened in 41.,surprise
12,So we're going to use thatto our advantage in this way.,neutral
13,"Some twistswill remain the same,",surprise
14,like the crazy phrases that you have to say,surprise
15,in front of other players to activate your idol.,surprise
16,"""Potatoes have skin. I have skin. Am I a potato?""",Surprise
17,"But other twists,",surprise
18,we're going to changethe variables a little bit,neutral
19,to see if it changeshow the players respond.,surprise
20,And some twists will be new.,Surprise
21,It's another evolution,surprise
22,in the greatest social experiment,surprise
23,ever seen on television.,Surprise
24,I've waited for a long time,neutral
25,to be out here playing Survivor.,surprise
26,I live for challenges like this.,happiness
27,I have a world recordin pull-ups,happiness
28,with 100 pounds on my back.,neutral
29,I did 15 in a minute.,surprise
30,But this is like the ultimate challenge.,surprise
31,There's nothing like this.,Neutral
32,"Like, yeah,there's a million world records,",Neutral
33,but there's one Survivor.,surprise
34,"From the beginning, I've had to fight",anger
35,"for people to believe in me,",neutral
36,even doing hurdles half blind.,surprise
37,They thought I was crazy.,Sadness
38,I became an all-American in hurdles.,happiness
39,"Like, I fight,",anger
40,and I'm very competitive.,happiness
41,"Sometimes, I bring that into certain situations, and",neutral
42,"they're just like,""You're-you're too much, Drea.""",surprise
43,"As an exotic animal veterinarian,",Neutral
44,you never know what you're goingto see when you come into work.,surprise
45,"It might be a tiny canarywith a fractured leg,",Sadness
46,or a giant rhino that you haveto put your hand up its butt.,disgust
47,"I'm gonna come out intothis game acting like a pigeon,",anger
48,"something that's nonthreatening, but really,",surprise
49,I'm going to belike the owl in the night.,surprise
50,You're not gonna hearor see me coming,fear
51,until you're deadand Jeff is snuffing your torch.,anger
52,"As a young woman, as a Gen Z,",Neutral
53,I feel way outside of my comfort zone.,fear
54,"I mean, the mostI've ever even camped",neutral
55,"is at music festivals,like, truly, like.",Happiness
56,"It's definitely a weakness. I mean,",sadness
57,"I'm an awkward runner,I'm an awkward swimmer.",neutral
58,I'm nervous about the bug.,fear
59,I will burn instantly.,fear
60,I'm already worryingI'm burning now.,fear
61,"Even sand. Sand is horrible,",disgust
62,"especially, like,when it, like, sticks",neutral
63,to your whole body. It sucks.,sadness
64,These 18 strangers have left everything behind.,Sadness
65,I've been trying to get,frustration
66,on the show forever. This is like,neutral
67,a lifelong dream.,happiness
68,They're about to take part,Surprise
69,in an adventure that will forever change their lives.,surprise
70,There's something for me that's here,neutral
71,that I need to find.,neutral
72,A complicated and dangerous game,fear
73,designed to test them,neutral
74,by pushing them further than ever before...,surprise
75,How much farther can I really go?,Fear
76,How much potentialdo I really have?,neutral
77,...forcing them to adapt at every turn...,Anger
78,"Whatever twist Jeff is going to throw at us,",surprise
79,I need to be prepared.,fear
80,...and challenging the beliefs,anger
81,of what is possible for those brave enough to say yes,happiness
82,to the adventure of a lifetime.,surprise
83,You get one shot at this.You get one shot.,anger
84,And I'm gonna give it everything I got.,Happiness
85,"Who will have what it takesto outwit, outplay",neutral
86,and outlast all the rest?,surprise
87,This is Survivor 42.,Surprise
88,Come on.,anger
89,Come join me.,Happiness
90,"Right now, it feels like a roller coaster.",Surprise
91,"The strap is on, the peoplehave done their final check,",Neutral
92,and the roller coasterjust went like...,surprise
93,And it's now juststarting to move.,surprise
94,"And in this moment, you have to decide,",fear
95,are you going to raise your hand,neutral
96,"to have the experience of your lifetime, or are you gonna",neutral
97,close your eyesand regret that for your life?,sadness
98,"My hands are going to be raised,",Surprise
99,and I'm going to be screaming with everyone on this...,anger
100,whatever ride this is.,surprise
101,All right.,Neutral
102,Welcome to Survivor 42.,surprise
103,"You are here, so excited.",happiness
104,It is so nice to be backin Fiji where it is safe.,happiness
105,"You all quarantined, everybodytested, everybody is good to go.",neutral
106,We can play Survivor.Woman in the front-- your smile.,Happiness
107,You haven't stopped smilingsince you got in the sand.,happiness
108,- What's your name?- Maryanne.,Neutral
109,"Maryanne,what is that enthusiasm?",surprise
110,How do you describe thatto your best friend?,Neutral
111,"It's, like, you dreamabout this, you know?",Surprise
112,"You dream about, like,going on Survivor.",Surprise
113,"Then you're like...And all your friends are like,",neutral
114,"""Maryanne, you're not gonnamake it on Survivor.""",Disgust
115,"Like, so many people. And thenit's like, you're here,",Neutral
116,"and then it's like, like,you know, like, you're here.",Neutral
117,"And, like, you're thereand, like, I'm here, and, like,",neutral
118,"you're just like...Like, I just want to,",surprise
119,"like, jump up, run, scream.",Surprise
120,Ah! It's so hard to keep it in.,Surprise
121,Guy in the middle in the green.What's your name?,Surprise
122,"Mike. How you doing, Jeff?",Neutral
123,I'm out here with Jeff Probst.Can you believe this?,surprise
124,- Holy crap.- That'll go away fast.,surprise
125,- It will?- Yeah.,Surprise
126,"Well, let me soak this infor a few seconds first.",Neutral
127,"On the beach,sand under my feet,",happiness
128,and Jeff Probstis talking to me.,surprise
129,It don't get better than that.I can't wait,happiness
130,for my friends to see this.They're not going to believe it.,surprise
131,"So what does it take to win this game, Mike?",surprise
132,I think you need to bediversified in all the areas--,anger
133,"social game,your challenge game,",surprise
134,and even just how you act aroundcamp. I think it takes it all.,Neutral
135,I think the person that comesout and is more well-rounded,neutral
136,than the rest of uswill win this game.,surprise
137,- What's your name?- Zach.,Neutral
138,"Zach, what does it taketo win Survivor?",neutral
139,"I thinkwe're about to find out, Jeff.",surprise
140,What does that mean?,Surprise
141,"I don't know. I was trying, man.",Sadness
142,It-it sounded cool.,surprise
143,I think it was the delivery,neutral
144,"that I kind of, like,miffed it on.",anger
145,"So, look around.",neutral
146,One of you is 26 days awayfrom winning Survivor 42,Neutral
147,and the million dollarsthat goes with it.,surprise
148,There are lotsof different ideas,neutral
149,"about what it takes to win,",neutral
150,and you haveto continue to adapt.,neutral
151,"That is the key,which is why you got to think",Neutral
152,of the game of Survivor,neutral
153,like it's the monsterin the horror movie.,fear
154,"Either you slay this game,or the game will slay you.",anger
155,"I'm glad each of you are here,",happiness
156,and I hope that Survivor givesyou what you're looking for.,Neutral
157,Let's get into it.Let's start with our tribes.,Neutral
158,- Over here on the left-- Taku.- Yeah.,Neutral
159,In the middle-- Vati.,Surprise
160,"And on the end,wearing blue-- Ika.",Surprise
161,Yeah!,happiness
162,"All right, are you readyto get to your first test",Surprise
163,as brand-new tribes?Yeah!,surprise
164,"All right,here's what's going to happen.",neutral
165,"On my go, one personfrom each tribe is going to race",surprise
166,into the jungle and untie two paddles,neutral
167,from a cargo net.,Surprise
168,They'll come back.Another person from that tribe,fear
169,will then race downaround the far end of the beach,neutral
170,and get two more paddles.,Neutral
171,"When you're back with your paddles,",neutral
172,everybody gets in your boat and you paddle out,fear
173,"and around the buoy, collecting a bag of bamboo sticks.",neutral
174,One tribe member will use those sticks,neutral
175,to try to retrieve that flint.,surprise
176,First tribe member to get a flint earns for their tribe,neutral
177,"- a pot, a machete and a flint.- Oh, my.",Surprise
178,That's what you're startingthe game with.,Neutral
179,No rice.,Neutral
180,- No food source.- Wow.,Surprise
181,You haven't seen Survivor 41.,Surprise
182,You're going to be on your own.The new Survivor,Fear
183,"is fast, it's difficult,and it's dangerous.",fear
184,"I don't know about season 41, but",neutral
185,"watching 40 seasons of Survivor,you have a general idea.",Surprise
186,"But when Jeff says,",neutral
187,"that's out the window, and you don't know what to expect--",fear
188,this is just wild.,surprise
189,"All right, tell mewho are the first runners",neutral
190,for the first leg?Come right up here,neutral
191,in front of the green.,neutral
192,"- Come on, my brother.- Right next to each other.",happiness
193,Jonathan.,Neutral
194,"All right, Jonathan!",Happiness
195,"- All right, Daniel.- Yeah, let's go, Daniel!",Happiness
196,"He's pretty big, you know.",neutral
197,I got to win onefor the short guys here.,Surprise
198,"We have Jonathan, Daniel...",Neutral
199,- Yes.- ...and Tori gonna race on the first leg.,Surprise
200,"- Tori, you got this.- Go, Jonathan!- First challenge",Neutral
201,of Survivor 42for basic camp supplies.,surprise
202,Here we go.Survivors ready.,surprise
203,- Yes.- Go.,Neutral
204,"Go, Tori!- Jonathan, Daniel and Tori.",Happiness
205,"Yeah, Tori!",happiness
206,Two paddles tied to a cargo net.,Neutral
207,Jonathan!,Neutral
208,"You got this, Jonathan!",happiness
209,The early momentsof Survivor 42.,surprise
210,You have no ideawhat's happening back there.,anger
211,- Jonathan!- You've sent a relative stranger,anger
212,to represent your tribe.,neutral
213,Who will come back first?,surprise
214,"Let's go, Tori!",happiness
215,"Come on, Tori!",anger
216,Come on!,anger
217,Oh!,surprise
218,"- Let's go, Daniel!- Come on, Daniel!",Happiness
219,- Come on!- Keep it up! Keep it up!,Surprise
220,"- Come on, Daniel!- Here it is!",Surprise
221,Jonathan with Tori right behind.,neutral
222,You're good. Go!,Surprise
223,It's gonna be Lindsay.Here comes Tori.,Surprise
224,You got to get there! Go.Here comes Drea.,Surprise
